object_id,volume_nm_3,voxel_count,com_x_nm,com_y_nm,com_z_nm
176,6302235361.28,18352,27463.5,1399.0,21611.8
138,5251061514.24,15291,42025.6,1527.1,11676.9
303,3901465559.04,11361,20120.4,2064.4,22967.4
203,3642192035.84,10606,11740.8,2806.4,14589.3
200,3332780851.2,9705,14481.6,1527.3,20688.8
380,3305308160.0,9625,9484.3,1610.0,15688.4
159,3025086709.76,8809,12852.1,2395.3,19274.5
137,2409698426.88,7017,30705.6,2518.8,7566.8
61,2296716984.32,6688,34641.0,2461.7,8807.1
263,2150768312.32,6263,37054.5,1034.8,17548.5
76,2046715494.4,5960,14058.4,1748.6,19756.8
247,1813197619.2,5280,41641.6,2070.3,30058.4
109,1602688122.88,4667,29223.3,1790.6,5290.8
351,1559762042.88,4542,28487.1,2519.0,5126.3
116,1425145856.0,4150,3601.7,3014.2,29846.5
148,1403511111.68,4087,40071.8,1181.1,23655.2
233,1180982312.96,3439,34102.9,1211.3,15695.1
253,1155913482.24,3366,12996.0,2506.0,10028.0
214,1122602844.16,3269,12477.0,1955.0,10527.2
240,1102685143.04,3211,21612.0,1595.2,8003.5
99,1098907648.0,3200,22234.2,2137.0,5837.0
341,1092039475.2,3180,11722.9,1212.1,15140.1
385,1063879966.72,3098,29303.1,2646.7,21475.0
47,1054264524.8,3070,38343.3,1288.4,10136.5
49,1007904358.4,2935,31241.9,1931.8,25594.7
213,972876677.12,2833,39034.1,2551.0,32035.3
288,962574417.92,2803,11340.1,1250.9,11881.9
166,959140331.52,2793,25200.8,3291.0,20694.4
21,927203328.0,2700,46635.2,2187.8,27857.2
189,892519055.36,2599,17423.1,1706.9,6818.7
339,883933839.36,2574,14511.4,1812.9,7887.8
325,856461148.16,2494,5300.5,897.6,16529.8
169,852683653.12,2483,33665.3,1595.7,8415.2
113,819373015.04,2386,19049.4,1750.2,5887.4
277,815595520.0,2375,35879.0,2288.8,15591.6
10,801172357.12,2333,10498.2,996.6,16789.0
366,786749194.24,2291,8709.4,2155.1,11228.9
401,774043074.56,2254,30557.7,2026.7,21617.3
301,771639214.08,2247,12506.3,1221.9,16970.4
108,755499008.0,2200,27405.8,1442.7,22278.9
74,730086768.64,2126,10327.3,2127.3,13223.7
22,699523399.68,2037,15469.7,2292.5,8603.3
121,689907957.76,2009,36670.0,1219.7,15298.0
211,649385738.24,1891,32371.8,2088.5,19545.8
290,646638469.12,1883,10726.0,2038.1,17255.4
337,644921425.92,1878,33973.9,1364.3,11103.9
420,643204382.72,1873,12822.4,2275.8,20710.0
122,629811445.76,1834,42703.1,2124.2,28226.1
393,627064176.64,1826,32259.5,1922.5,20707.6
6,618478960.64,1801,4975.0,1126.1,11720.2
139,614358056.96,1789,30735.9,2086.1,6249.6
299,610923970.56,1779,30465.7,2255.5,22226.1
218,600965120.0,1750,35582.9,1446.1,11032.2
237,600965120.0,1750,34428.4,3085.4,14853.1
95,597187624.96,1739,31346.2,1421.6,7083.6
310,596500807.68,1737,13775.0,2182.8,8280.4
349,588259000.32,1713,33542.6,2471.2,8418.4
320,559069265.92,1628,35914.0,2233.8,13982.3
343,554948362.24,1616,45310.4,1900.9,27937.5
327,553574727.68,1612,20206.6,5254.7,15502.6
92,552887910.4,1610,15013.4,2189.3,7662.3
201,551170867.2,1605,3410.3,1305.7,17410.4
42,550484049.92,1603,4110.1,1063.9,9685.4
150,541212016.64,1576,10304.3,1505.5,13051.0
416,530566348.8,1545,37757.9,1260.6,14781.5
120,527475671.04,1536,45066.5,2503.8,29671.3
45,523354767.36,1524,18398.3,1106.2,20140.2
59,501376614.4,1460,16301.2,1916.4,6498.1
278,501376614.4,1460,28077.6,2230.0,6282.9
110,473903923.2,1380,37531.4,1673.5,11120.1
384,472873697.28,1377,4411.8,667.5,15238.9
397,472530288.64,1376,16162.6,1143.5,18712.8
271,449865318.4,1310,11561.3,2463.7,13884.5
114,446087823.36,1299,1756.6,3141.5,29001.9
129,437159198.72,1273,46659.0,1984.2,28260.4
330,436472381.44,1271,8833.8,785.1,13509.2
360,435785564.16,1269,12084.8,1533.4,12907.0
182,422049218.56,1229,40010.3,1699.1,26092.1
1,418271723.52,1218,35428.5,2634.6,10707.4
294,418271723.52,1218,24098.8,1770.5,5283.9
190,415524454.4,1210,34420.6,1127.7,20493.3
