object_id,volume,surface_area,position_x,position_y,position_z
1,391384744,2773670,19189,1788,16493
2,3053667430,13885163,9382,1345,7316
3,5585174704,17775941,14066,2594,9989
4,6340428340,18231175,5010,1130,10869
5,272238985,2822334,2510,1834,5898
6,6065839670,20469931,10029,2761,8655
7,913562539,6340031,1639,296,3520
8,3231963573,13024927,19411,246,10459
9,3290215645,11248709,13615,2667,15972
10,5222982182,16817555,22513,1705,14707
11,1670982243,7507176,4539,1708,2633
12,200066258,1722074,20355,3053,921
13,213206283,2422073,15951,562,10700
14,1793159592,8022820,4612,116,2023
15,5554213150,17412870,15752,2117,7057
16,2496114169,11305442,7261,765,14222
17,713627940,4078780,19514,1157,173
18,3593233709,13538147,18267,194,14544
19,4814664043,14634843,13929,296,12025
20,1255927794,7972036,2724,1196,8465
21,6690302603,22283826,14314,2346,10678
22,902408310,5195784,12172,763,14670
23,200951489,2329405,12556,1807,8306
24,201655394,1880648,23913,2385,859
25,217265775,2063225,6994,2644,1390
26,3820615717,13701083,724,747,6642
27,7988185644,26069008,994,1193,7279
28,831390426,5102661,1606,1833,1753
29,8827333461,27264096,20082,3161,15869
30,6984868995,22634194,8226,1982,5857
31,3786296488,16321186,19204,2244,14833
32,6134740062,21989411,4419,2347,15669
33,610631790,4455513,7470,438,264
34,214883355,2110776,19151,1183,7696
35,1883761605,9117371,21247,2723,3552
36,2175622282,10965395,3286,2909,10574
37,2342557043,12076325,18715,1184,14494
38,676664516,4510007,21093,1250,13424
39,457842753,3037380,22995,2363,8025
40,2356630532,8892139,6460,1701,3934
