object_id,volume,surface_area,position_x,position_y,position_z
1,364349249547,290341602,6485,2337,4457
2,10369637759,31501481,3586,2091,10619
3,59043068729,98619804,17016,3148,5167
4,10018505036,32033973,23839,483,3904
5,14594533474,40458336,18066,399,7366
6,16928220388,41330623,12944,657,6900
7,28959420666,48549047,16663,1948,15392
8,10022286210,25111332,6925,858,14058
9,343170954712,247185615,3524,993,4187
10,10000743067,24838312,4712,126,9820
11,159744249675,178989172,9652,2579,7112
12,29215953603,62269745,6946,2164,2392
